subjectCode,topicName,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,difficulty,year,examType
MTH,Number Theory - Sets,"If A = {1,2,3,4,5} and B = {3,4,5,6,7}, find A ∩ B.",{1,2,3},{3,4,5},{5,6,7},{1,2,6,7},B,"A ∩ B is the intersection — elements in both sets. Only 3, 4, and 5 appear in both A and B.",EASY,2024,JAMB
MTH,Algebra - Inequalities,"Solve: 3x - 7 > 2",x > 3,x < 3,x > -3,x < -3,A,"3x > 2 + 7 = 9, so x > 3. Students often forget to flip the inequality when dividing by a negative.",EASY,2023,WAEC
MTH,Geometry - Triangles,"The sum of interior angles of a triangle is",90°,180°,270°,360°,B,"The interior angles of any triangle always sum to 180°. This is a fundamental theorem of Euclidean geometry.",EASY,2024,JAMB
MTH,Statistics - Probability,"A bag contains 3 red and 5 blue balls. What is the probability of picking a red ball?",3/8,5/8,3/5,1/3,A,"P(red) = number of red / total = 3/(3+5) = 3/8. Total balls = 8.",MEDIUM,2023,JAMB
MTH,Algebra - Polynomials,"Expand (x + 3)(x - 2).",x² + x - 6,x² - x - 6,x² + x + 6,x² - x + 6,A,"Using FOIL: x² - 2x + 3x - 6 = x² + x - 6. Common error is sign mistakes in the middle term.",MEDIUM,2022,WAEC
MTH,Geometry - Mensuration,"Find the area of a circle with radius 7 cm. (Take π = 22/7)",154 cm²,44 cm²,22 cm²,308 cm²,A,"Area = πr² = (22/7) × 7² = (22/7) × 49 = 22 × 7 = 154 cm².",MEDIUM,2024,JAMB
MTH,Algebra - Sequences,"The 5th term of an arithmetic sequence is 17 and the common difference is 3. Find the first term.",5,2,8,11,A,"Using Tₙ = a + (n-1)d: 17 = a + 4(3) = a + 12, so a = 5.",HARD,2023,WAEC
MTH,Calculus - Integration,"Evaluate ∫(2x + 3)dx",x² + 3x + C,2x² + 3x + C,x² + 3 + C,2x + C,A,"Integrating term by term: ∫2x dx = x², ∫3 dx = 3x. Result: x² + 3x + C.",HARD,2024,JAMB
MTH,Trigonometry - Identities,"Which of the following is correct?",sin²θ + cos²θ = 2,sin²θ - cos²θ = 1,sin²θ + cos²θ = 1,sinθ × cosθ = 1,C,"The Pythagorean identity: sin²θ + cos²θ = 1 is fundamental in trigonometry.",MEDIUM,2022,JAMB
MTH,Number Theory - Fractions,"Simplify: (3/4) ÷ (9/16)",4/3,27/64,3/4,16/9,A,"Dividing fractions: multiply by reciprocal. (3/4) × (16/9) = 48/36 = 4/3.",EASY,2023,WAEC
