subjectCode,topicName,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,difficulty,year,examType
MTH,Algebra - Quadratic Equations,"If x² - 5x + 6 = 0, find the values of x.",x = 2 and x = 3,x = -2 and x = -3,x = 1 and x = 6,x = -1 and x = -6,A,"Factorising: (x-2)(x-3)=0, so x=2 or x=3. Common error is sign confusion.",MEDIUM,2023,JAMB
MTH,Algebra - Indices,"Simplify: 2³ × 2⁴ ÷ 2⁵",4,8,2,16,A,"Using index laws: 2^(3+4-5) = 2^2 = 4. Students often add all indices.",EASY,2024,JAMB
MTH,Geometry - Circle Theorems,"The angle subtended by a diameter at the circumference of a circle is",45°,90°,180°,360°,B,"Angle in a semicircle is always 90° (Thales' theorem). This is a fundamental circle theorem.",EASY,2023,JAMB
MTH,Statistics - Mean,"The mean of 5 numbers is 12. If four of the numbers are 10, 14, 8, and 16, find the fifth number.",12,10,14,16,A,"Sum = 5×12 = 60. Sum of four = 48. Fifth = 60-48 = 12.",MEDIUM,2022,JAMB
MTH,Trigonometry,"If sin θ = 3/5, find cos θ.",4/5,3/4,5/3,5/4,A,"Using Pythagoras: if sin θ = 3/5, opposite=3, hypotenuse=5, adjacent=4. cos θ = 4/5.",MEDIUM,2024,JAMB
MTH,Number Theory - Logarithms,"Evaluate log₁₀ 1000",1,2,3,4,C,"log₁₀ 1000 = log₁₀ 10³ = 3. Students confuse log base with the number.",EASY,2023,WAEC
MTH,Algebra - Simultaneous Equations,"Solve: 2x + y = 7 and x - y = 2",x=3 and y=1,x=2 and y=3,x=4 and y=-1,x=1 and y=5,A,"Adding equations: 3x=9, x=3. Substituting: y=7-6=1. Check: 3-1=2 ✓",MEDIUM,2022,WAEC
MTH,Calculus - Differentiation,"Find dy/dx if y = 3x² + 2x - 5",6x + 2,3x + 2,6x - 5,3x² + 2,A,"Differentiating term by term: d/dx(3x²)=6x, d/dx(2x)=2, d/dx(-5)=0. Result: 6x+2.",HARD,2024,JAMB
ENG,Grammar - Tenses,"By the time you arrive, I _____ the dishes.",will finish,will have finished,am finishing,have finished,B,"Future perfect tense is used for an action completed before another future event. 'Will have finished' is correct.",MEDIUM,2023,JAMB
ENG,Comprehension - Vocabulary,"The word 'benevolent' most nearly means",cruel,generous,timid,arrogant,B,"Benevolent means well-meaning and kindly. From Latin 'bene' (well) + 'volent' (wishing).",EASY,2024,JAMB
ENG,Grammar - Concord,"Neither the students nor the teacher _____ present.",were,are,was,have been,C,"With 'neither...nor', the verb agrees with the nearest subject. 'Teacher' is singular, so 'was' is correct.",HARD,2023,JAMB
ENG,Oral English - Stress,"Which syllable is stressed in the word 'photograph'?",First,Second,Third,Fourth,A,"PHO-to-graph: stress falls on the first syllable. Compare with pho-TOG-ra-phy.",MEDIUM,2022,JAMB
ENG,Grammar - Parts of Speech,"Identify the gerund in: 'Swimming is my favourite sport.'",Swimming,is,favourite,sport,A,"A gerund is a verb form ending in -ing used as a noun. 'Swimming' functions as the subject here.",EASY,2024,WAEC
ENG,Figures of Speech,"'The wind whispered through the trees' is an example of",Simile,Metaphor,Personification,Hyperbole,C,"Personification gives human qualities (whispering) to non-human things (wind).",EASY,2023,WAEC
ENG,Grammar - Punctuation,"Which sentence is correctly punctuated?","Its a lovely day.","It's a lovely day.","Its' a lovely day.","It is' a lovely day.",B,"'It's' is the contraction of 'it is'. 'Its' is the possessive pronoun. The apostrophe replaces the missing 'i'.",MEDIUM,2024,JAMB
ENG,Essay Writing - Register,"A formal letter should begin with",Hey there,Dear Sir/Madam,Hello friend,What's up,B,"Formal letters use 'Dear Sir/Madam' or the recipient's title and name. Informal greetings are inappropriate.",EASY,2022,WAEC
PHY,Mechanics - Newton's Laws,"A force of 20 N acts on a mass of 4 kg. What is the acceleration?",5 m/s²,80 m/s²,0.2 m/s²,16 m/s²,A,"F = ma, so a = F/m = 20/4 = 5 m/s². Common error: multiplying instead of dividing.",EASY,2024,JAMB
