subjectCode,topicName,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,difficulty,year,examType
BIO,Cell Biology,"What is the basic unit of life?",Tissue,Organ,Cell,System,C,"The cell is the smallest structural and functional unit of all living organisms",EASY,2024,JAMB
BIO,Cell Biology,"Which organelle is responsible for protein synthesis?",Nucleus,Ribosome,Mitochondria,Golgi apparatus,B,"Ribosomes are the sites where proteins are synthesized from amino acids",EASY,2024,JAMB
BIO,Cell Biology,"What is the function of the cell membrane?",Energy production,Protein synthesis,Selective permeability,DNA storage,C,"The cell membrane controls what enters and exits the cell through selective permeability",EASY,2024,JAMB
BIO,Cell Biology,"Which organelle is known as the powerhouse of the cell?",Nucleus,Chloroplast,Mitochondria,Ribosome,C,"Mitochondria produce ATP through cellular respiration, providing energy for cellular processes",EASY,2024,JAMB
BIO,Cell Biology,"What type of microscope is used to view living cells?",Electron microscope,Light microscope,Scanning microscope,Fluorescence microscope,B,"Light microscopes allow observation of living cells without killing them",MEDIUM,2023,JAMB
BIO,Cell Biology,"Which process allows water to move across cell membranes?",Active transport,Osmosis,Endocytosis,Exocytosis,B,"Osmosis is the movement of water across a semipermeable membrane from high to low concentration",MEDIUM,2023,JAMB
BIO,Cell Biology,"What is the pH range of most living cells?",5.0-6.0,6.8-7.4,8.0-9.0,9.5-10.5,B,"Most living cells maintain a pH between 6.8-7.4 for optimal enzyme function",MEDIUM,2022,JAMB
BIO,Cell Biology,"Which organelle contains digestive enzymes?",Lysosome,Peroxisome,Ribosome,Centrosome,A,"Lysosomes contain digestive enzymes that break down waste materials and cellular debris",MEDIUM,2022,JAMB
BIO,Cell Biology,"What is the function of the endoplasmic reticulum?",DNA replication,Protein and lipid synthesis,Energy production,Cell division,B,"The ER synthesizes proteins (rough ER) and lipids (smooth ER)",HARD,2021,JAMB
BIO,Cell Biology,"Which structure regulates the entry and exit of materials in the nucleus?",Nuclear membrane,Nuclear pore,Nucleolus,Chromatin,B,"Nuclear pores are selective channels that control molecular traffic between nucleus and cytoplasm",HARD,2020,JAMB
BIO,Genetics,"What is a gene?",A type of cell,A hereditary unit,A chromosome,An enzyme,B,"A gene is a hereditary unit that carries information from parents to offspring",EASY,2024,JAMB
BIO,Genetics,"How many chromosomes does a normal human have?",23,44,46,48,C,"Humans have 46 chromosomes arranged in 23 pairs",EASY,2024,JAMB
BIO,Genetics,"What is the process of cell division that produces gametes?",Mitosis,Meiosis,Binary fission,Budding,B,"Meiosis produces gametes (sex cells) with half the chromosome number",EASY,2023,JAMB
BIO,Genetics,"Which scientist is known as the father of genetics?",Charles Darwin,Gregor Mendel,Louis Pasteur,Alexander Fleming,B,"Gregor Mendel discovered the basic principles of heredity through his pea plant experiments",EASY,2023,JAMB
BIO,Genetics,"What is a dominant allele?",Always expressed,Never expressed,Sometimes expressed,Rarely expressed,A,"A dominant allele is always expressed when present, masking recessive alleles",MEDIUM,2022,JAMB
